Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2013-09-10,889565.0,192636.0,407236.0,99160.0,14359.0,25623.0,172225.0,26292.0,91828.0,36897.0,30497.0,211291.0,829660.0,807127.0,59905.0,82439.0
2013-09-17,890031.0,188095.0,407092.0,98517.0,13464.0,26512.0,174202.0,26451.0,88910.0,40928.0,31468.0,212160.0,829325.0,806057.0,60707.0,83974.0
2013-09-24,870333.0,193823.0,394708.0,95782.0,11428.0,26830.0,160835.0,25583.0,96497.0,37020.0,31569.0,199185.0,809972.0,785801.0,60360.0,84532.0
2013-10-01,882590.0,209356.0,383829.0,93244.0,9008.0,33538.0,138504.0,28644.0,104601.0,37906.0,32937.0,203200.0,820349.0,795756.0,62241.0,86834.0
2013-10-08,871614.0,220083.0,391678.0,93288.0,11642.0,30204.0,137768.0,28502.0,97950.0,36954.0,30000.0,193155.0,809402.0,783130.0,62212.0,88484.0
2013-10-15,890058.0,235044.0,403808.0,92446.0,10466.0,35476.0,139515.0,27336.0,100020.0,35245.0,29134.0,190242.0,827988.0,796481.0,62070.0,93576.0
2013-10-22,882349.0,225921.0,409997.0,95146.0,11643.0,32672.0,146309.0,27014.0,100186.0,37004.0,30413.0,178803.0,816041.0,790729.0,66308.0,91620.0
2013-10-29,709780.0,176976.0,360134.0,95174.0,12187.0,16490.0,141995.0,25637.0,83876.0,37280.0,26564.0,97066.0,648857.0,621954.0,60923.0,87826.0
2013-11-05,700143.0,166092.0,331085.0,96410.0,12218.0,15983.0,138280.0,40715.0,77558.0,40943.0,29265.0,108754.0,644020.0,615578.0,56123.0,84565.0
2013-11-12,711578.0,153331.0,347411.0,96589.0,12636.0,16009.0,149229.0,28338.0,80024.0,43285.0,29878.0,114837.0,653304.0,629134.0,58275.0,82444.0
2013-11-19,723098.0,157462.0,354047.0,97253.0,11174.0,16458.0,157313.0,27920.0,78174.0,41428.0,28977.0,119626.0,667713.0,636377.0,55385.0,86721.0
2013-11-26,741684.0,156104.0,364216.0,94391.0,13302.0,15499.0,172118.0,25950.0,84325.0,43472.0,32028.0,114122.0,680031.0,649442.0,61652.0,92242.0
2013-12-03,756122.0,155457.0,362630.0,90865.0,11781.0,15985.0,181594.0,30516.0,86662.0,45664.0,33709.0,117003.0,693230.0,658286.0,62892.0,97836.0
2013-12-10,789314.0,165427.0,386268.0,90849.0,13149.0,18893.0,190150.0,27245.0,76269.0,49600.0,34038.0,134826.0,726014.0,690688.0,63301.0,98626.0
2013-12-17,811261.0,178755.0,403277.0,95122.0,17976.0,14463.0,198092.0,25736.0,73817.0,49321.0,35525.0,136472.0,746042.0,707265.0,65219.0,103996.0
2013-12-24,786037.0,161191.0,389422.0,96786.0,13507.0,14458.0,193993.0,28270.0,75448.0,49305.0,32659.0,132446.0,723628.0,686210.0,62409.0,99827.0
2013-12-31,712941.0,139188.0,346298.0,94605.0,11515.0,11820.0,178337.0,41654.0,76805.0,51824.0,25750.0,105339.0,657919.0,619180.0,55023.0,93761.0
2014-01-07,722037.0,154180.0,330346.0,94007.0,10714.0,12779.0,155523.0,47865.0,81049.0,54020.0,25842.0,116335.0,667892.0,624929.0,54144.0,97107.0
2014-01-14,739472.0,144903.0,334688.0,93426.0,14521.0,15177.0,168011.0,41640.0,81484.0,58912.0,33299.0,121720.0,683632.0,642528.0,55839.0,96943.0
2014-01-21,764688.0,154118.0,345522.0,93976.0,14026.0,17191.0,172729.0,45568.0,76739.0,62219.0,35308.0,129685.0,706658.0,664039.0,58031.0,100649.0
2014-01-28,743080.0,153555.0,334608.0,92639.0,12346.0,16633.0,162874.0,41243.0,73041.0,61456.0,34715.0,126106.0,686304.0,638692.0,56776.0,104388.0
2014-02-04,778519.0,161455.0,358587.0,90525.0,12696.0,18535.0,177296.0,30763.0,78169.0,60107.0,36464.0,134654.0,720740.0,669868.0,57779.0,108651.0
2014-02-11,835846.0,164897.0,387626.0,87240.0,16016.0,24676.0,201715.0,25589.0,84048.0,62792.0,36280.0,147117.0,772485.0,721354.0,63361.0,114492.0
2014-02-18,858410.0,163262.0,400051.0,88466.0,18034.0,24931.0,217062.0,21570.0,76379.0,63370.0,42122.0,157076.0,790547.0,740162.0,67863.0,118248.0
2014-02-25,834272.0,167940.0,419305.0,90802.0,16230.0,18767.0,220101.0,17105.0,71161.0,64637.0,39290.0,132561.0,765970.0,714419.0,68302.0,119853.0
2014-03-04,831220.0,160291.0,413948.0,93517.0,12741.0,20518.0,227781.0,19288.0,65270.0,62685.0,44267.0,144750.0,774812.0,720782.0,56408.0,110439.0
2014-03-11,849739.0,173119.0,413336.0,91742.0,13887.0,21868.0,221980.0,23360.0,68101.0,57673.0,44480.0,157373.0,791856.0,742405.0,57883.0,107333.0
2014-03-18,842042.0,170298.0,398685.0,90103.0,14467.0,25692.0,220695.0,22023.0,66088.0,49943.0,46019.0,161888.0,784707.0,734862.0,57335.0,107180.0
2014-03-25,795823.0,156136.0,376042.0,91904.0,14540.0,23655.0,206871.0,21442.0,60863.0,47902.0,41072.0,147180.0,734510.0,684794.0,61312.0,111029.0
2014-04-01,833669.0,165967.0,394669.0,92419.0,15791.0,26321.0,212707.0,19261.0,56559.0,52588.0,42748.0,167397.0,773959.0,722746.0,59710.0,110924.0
2014-04-08,848303.0,169303.0,390133.0,93283.0,12518.0,28804.0,206487.0,25235.0,60724.0,50533.0,43285.0,174519.0,783653.0,735218.0,64650.0,113086.0
2014-04-15,901130.0,175218.0,404701.0,95346.0,10398.0,33338.0,210283.0,23746.0,70300.0,52283.0,44256.0,198825.0,835592.0,785563.0,65538.0,115567.0
2014-04-22,903409.0,189846.0,392673.0,95583.0,8354.0,34545.0,194823.0,29672.0,76917.0,47089.0,45319.0,201221.0,840025.0,788702.0,63385.0,114707.0
2014-04-29,788198.0,163252.0,375316.0,97857.0,5562.0,22033.0,195362.0,26486.0,55511.0,47229.0,41910.0,147042.0,728286.0,673860.0,59912.0,114338.0
2014-05-06,760332.0,163970.0,340515.0,97584.0,4121.0,23609.0,173398.0,35354.0,51563.0,47066.0,45171.0,145736.0,702925.0,646067.0,57406.0,114265.0
2014-05-13,781803.0,176485.0,343344.0,92301.0,4766.0,24606.0,171829.0,40066.0,51035.0,54433.0,46919.0,155284.0,725973.0,666019.0,55829.0,115784.0
2014-05-20,798278.0,186217.0,347034.0,92504.0,4937.0,24381.0,167027.0,46108.0,59712.0,52853.0,41672.0,157013.0,739709.0,680858.0,58569.0,117420.0
2014-05-27,816108.0,194485.0,359665.0,91690.0,5572.0,26213.0,167348.0,40311.0,59359.0,56149.0,41397.0,161326.0,756570.0,693843.0,59538.0,122265.0
2014-06-03,835276.0,211751.0,345039.0,89498.0,4947.0,28524.0,160511.0,56361.0,62162.0,57480.0,43960.0,168422.0,778348.0,709414.0,56928.0,125862.0
2014-06-10,842051.0,204489.0,319902.0,96030.0,7837.0,28014.0,150631.0,70488.0,66292.0,60401.0,43963.0,177425.0,783282.0,713921.0,58769.0,128130.0
